Site identification,Area,Visit date,Start time,Species code,Count
Identification du site,Secteur,Date de la visite,Heure de début,Code de l’espèce,Dénombrement
1,4,11/08/2011,10:23:42 AM,SAND,18
1,4,11/08/2011,10:23:42 AM,SEPL,1
1,4,15/08/2011,3:54:51 PM,UNSHOREBIRD,20
1,4,15/08/2011,3:54:51 PM,WESA,23
1,4,24/08/2011,9:25:22 AM,BASA,1
1,4,24/08/2011,9:25:22 AM,SAND,8
1,4,24/08/2011,9:25:22 AM,WESA,14
1,4,05/10/2011,8:10:00 AM,BBPL,5
1,4,24/04/2012,9:10:00 AM,BLOY,1
1,4,09/05/2012,6:52:00 AM,DUNL,4
1,4,09/05/2012,6:52:00 AM,SEPL,7
1,4,09/05/2012,6:52:00 AM,WESA,3
1,4,17/05/2012,5:10:00 PM,RNPH,1
1,4,17/05/2012,5:10:00 PM,SAND,22
1,4,29/05/2012,7:50:00 AM,BLOY,1
1,4,29/07/2012,12:10:00 PM,SEPL,7
1,4,06/08/2012,7:36:00 AM,BBPL,1
1,4,06/08/2012,7:36:00 AM,SAND,1
1,4,25/08/2012,7:52:00 AM,SAND,7
1,4,26/04/2013,9:42:00 AM,SEPL,3
1,4,04/05/2013,1:30:00 PM,BLOY,3
1,4,04/05/2013,1:30:00 PM,SEPL,2
1,4,04/05/2013,1:30:00 PM,WESA,2
1,4,09/05/2013,8:53:00 AM,BLOY,3
1,4,09/05/2013,8:53:00 AM,KILL,1
1,4,16/05/2013,11:38:00 AM,WHIM,3
1,4,21/05/2013,8:10:00 AM,SAND,15
1,4,21/05/2013,8:10:00 AM,SEPL,6
1,4,21/05/2013,8:10:00 AM,WHIM,6
1,4,16/07/2013,7:58:00 AM,SEPL,3
1,4,30/07/2013,9:03:00 AM,SEPL,4
1,4,30/07/2013,9:03:00 AM,WESA,1
1,4,24/08/2013,7:26:00 AM,BLOY,1
1,4,24/08/2013,7:26:00 AM,SAND,3
1,4,04/09/2013,8:35:00 AM,SAND,3
1,4,04/09/2013,8:35:00 AM,SEPL,2
1,4,04/09/2013,8:35:00 AM,WESA,30
1,4,16/09/2013,6:53:00 AM,SBDO,1
1,4,07/08/2014,1:10:00 PM,WESA,7
1,4,26/08/2014,1:35:00 PM,LESA,5
1,4,26/08/2014,1:35:00 PM,SAND,2
1,4,26/08/2014,1:35:00 PM,SEPL,21
1,4,26/08/2014,1:35:00 PM,WESA,106
1,4,18/09/2014,4:04:00 PM,WHIM,2
1,4,29/04/2015,9:45:00 AM,BLOY,3
1,4,29/04/2015,9:45:00 AM,WESA,6
1,4,30/04/2015,7:50:00 AM,LESA,2
1,4,30/04/2015,7:50:00 AM,SEPL,27
1,4,30/04/2015,7:50:00 AM,WESA,150
1,4,14/05/2015,2:25:00 PM,BBPL,5
1,4,14/05/2015,2:25:00 PM,DUNL,2
1,4,14/05/2015,2:25:00 PM,WESA,5
1,4,22/05/2015,10:07:00 AM,BLOY,3
1,4,22/05/2015,10:07:00 AM,WHIM,5
1,4,29/07/2015,1:22:00 PM,SAND,1
1,4,05/08/2015,9:25:00 AM,SAND,25
1,4,17/08/2015,11:43:00 AM,SAND,1
1,4,17/08/2015,11:43:00 AM,WESA,3
1,4,10/05/2016,7:45:00 AM,DUNL,6
1,4,10/05/2016,7:45:00 AM,SEPL,1
1,4,10/05/2016,7:45:00 AM,WESA,28
1,4,17/05/2016,9:22:00 AM,WESA,2
1,4,21/07/2016,10:28:00 AM,SAND,1
1,4,21/07/2016,10:28:00 AM,SEPL,2
1,4,21/07/2016,10:28:00 AM,WESA,4
